Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
08302  Vilanova del Camí,"5,579","4,495",218,865,1,,,,,
08902  Vilanova del Vallès,"2,091","1,789",205,96,1,,,,,
08307  Vilanova i la Geltrú,"32,766","26,586","2,816","3,348",16,,,,,
32091  Vilardevós,"2,306","1,032",598,676,0,,,,,
12135  Vila-real,"25,418","19,043","1,837","4,532",6,,,,,
43171  Vila-seca,"17,627","8,401","7,466","1,758",2,,,,,
08214  Vilassar de Dalt,"4,046","3,440",313,291,2,,,,,
08219  Vilassar de Mar,"9,904","7,666","1,129","1,100",9,,,,,
"12136  Vilavella, la","1,747","1,275",86,386,0,,,,,
23094  Vilches,"2,624","1,837",111,675,1,,,,,
"45186  Villa de Don Fadrique, La","2,325","1,592",261,472,0,,,,,
38053  Villa de Mazo,"2,611","1,838",437,336,0,,,,,
28171  Villa del Prado,"4,599","2,214","1,266","1,116",2,,,,,
14066  Villa del Río,"3,178","2,672",216,290,0,,,,,
21073  Villablanca,"1,396","1,057",138,201,0,,,,,
24202  Villablino,"5,073","3,837",363,863,10,,,,,
20075  Villabona,"2,628","2,272",45,310,1,,,,,
45185  Villacañas,"5,006","3,683",491,830,2,,,,,
23095  Villacarrillo,"6,433","4,301","1,395",734,2,,,,,
28170  Villaconejos,"1,712","1,248",200,264,0,,,,,
39099  Villaescusa,"1,658","1,315",104,239,0,,,,,
31254  Villafranca,"1,522","1,133",233,155,1,,,,,
14067  Villafranca de Córdoba,"2,156","1,706",187,262,1,,,,,
06149  Villafranca de los Barros,"5,956","4,552",405,993,5,,,,,
45187  Villafranca de los Caballeros,"3,017","1,957",529,529,2,,,,,
24209  Villafranca del Bierzo,"2,341","1,406",612,318,5,,,,,
12129  Villafranca del Cid/Vilafranca,"1,865",970,637,258,0,,,,,
13089  Villahermosa,"2,018",855,928,233,1,,,,,
"03139  Villajoyosa/Vila Joiosa, la","24,089","13,088","5,813","5,185",3,,,,,
21074  Villalba del Alcor,"1,665","1,135",347,180,2,,,,,
28172  Villalbilla,"5,683","3,740",617,"1,323",2,,,,,
46255  Villalonga,"2,616","1,839",254,523,0,,,,,
45188  Villaluenga de la Sagra,"1,809","1,383",180,246,0,,,,,
02079  Villamalea,"2,116","1,450",316,349,1,,,,,
41097  Villamanrique de la Condesa,"2,177","1,508",142,527,0,,,,,
28174  Villamanta,"1,235",875,263,94,3,,,,,
11041  Villamartín,"6,281","4,467",896,917,1,,,,,
37354  Villamayor,"3,429","2,393",561,470,5,,,,,
50903  Villamayor de Gállego,"1,167","1,031",79,57,0,,,,,
16249  Villamayor de Santiago,"2,066","1,055",758,252,1,,,,,
26168  Villamediana de Iregua,"4,612","2,983",912,717,0,,,,,
34225  Villamuriel de Cerrato,"3,001","2,406",193,400,2,,,,,
47217  Villanubla,"1,509",920,235,353,1,,,,,
45192  Villanueva de Alcardete,"2,185","1,299",599,287,0,,,,,
29095  Villanueva de Algaidas,"2,158","1,758",150,249,1,,,,,
46257  Villanueva de Castellón,"3,666","2,855",374,437,0,,,,,
14069  Villanueva de Córdoba,"5,233","3,572",818,839,4,,,,,
50288  Villanueva de Gállego,"2,180","1,719",157,302,2,,,,,
28176  Villanueva de la Cañada,"8,388","5,718",898,"1,769",3,,,,,
29902  Villanueva de la Concepción,"1,336","1,218",53,65,0,,,,,
13092  Villanueva de la Fuente,"1,784",916,305,562,1,,,,,
16251  Villanueva de la Jara,"1,491",810,401,279,1,,,,,
23096  Villanueva de la Reina,"1,697","1,240",153,302,2,,,,,
06153  Villanueva de la Serena,"13,153","9,764","1,200","2,185",4,,,,,
19319  Villanueva de la Torre,"2,276","2,057",17,201,1,,,,,
10212  Villanueva de la Vera,"1,968",895,721,351,1,,,,,
21076  Villanueva de los Castillejos,"1,592","1,052",225,315,0,,,,,
13093  Villanueva de los Infantes,"3,310","2,138",680,487,4,,,,,
41098  Villanueva del Ariscal,"2,880","2,147",87,645,1,,,,,
23097  Villanueva del Arzobispo,"4,540","3,296",738,503,3,,,,,
06154  Villanueva del Fresno,"1,745","1,243",308,194,0,,,,,
28177  Villanueva del Pardillo,"5,895","5,387",192,315,1,,,,,
30042  Villanueva del Río Segura,"2,299",849,498,951,1,,,,,
41099  Villanueva del Río y Minas,"3,008","1,988",280,740,0,,,,,
29096  Villanueva del Rosario,"1,915","1,438",250,226,1,,,,,
29097  Villanueva del Trabuco,"2,554","1,965",236,353,0,,,,,
18188  Villanueva Mesía,"1,038",808,37,193,0,,,,,
24222  Villaquilambre,"10,588","7,452","1,081","2,053",1,,,,,
46258  Villar del Arzobispo,"2,647","1,538",322,785,2,,,,,
28179  Villar del Olmo,"1,209",747,388,74,0,,,,,
06155  Villar del Rey,"1,312",933,155,224,0,,,,,
09903  Villarcayo de Merindad de Castilla la Vieja,"5,727","1,972","3,217",536,2,,,,,
24223  Villarejo de Órbigo,"2,443","1,298",430,711,4,,,,,
28180  Villarejo de Salvanés,"3,740","2,615",575,550,0,,,,,
37362  Villares de la Reina,"3,070","2,170",325,575,0,,,,,
"23099  Villares, Los","3,087","2,060",388,638,1,,,,,
21077  Villarrasa,"1,065",815,75,175,0,,,,,
02081  Villarrobledo,"12,010","9,686",773,"1,545",7,,,,,
13096  Villarrubia de los Ojos,"5,157","3,946",371,836,3,,,,,
45195  Villarrubia de Santiago,"1,741","1,060",285,393,2,,,,,
13097  Villarta de San Juan,"1,506","1,084",183,238,1,,,,,
45197  Villasequilla,"1,401",992,167,242,0,,,,,
45198  Villatobas,"2,002","1,029",182,791,0,,,,,
23903  Villatorres,"2,329","1,678",386,265,0,,,,,
31258  Villava/Atarrabia,"4,013","3,667",65,278,3,,,,,
41101  Villaverde del Río,"2,994","2,546",110,338,0,,,,,
33076  Villaviciosa,"11,075","6,222","3,288","1,559",5,,,,,
14073  Villaviciosa de Córdoba,"2,243","1,415",604,223,1,,,,,
28181  Villaviciosa de Odón,"11,757","9,166","1,378","1,207",6,,,,,
03140  Villena,"18,329","13,090","2,466","2,767",6,,,,,
17233  Vilobí d'Onyar,"1,315","1,155",89,71,0,,,,,
15092  Vimianzo,"3,960","2,698",348,910,4,,,,,
46260  Vinalesa,"1,763","1,388",92,283,0,,,,,
12138  Vinaròs,"19,822","11,276","5,046","3,497",3,,,,,
"45199  Viso de San Juan, El","4,255","1,473","2,381",401,0,,,,,
"41102  Viso del Alcor, El","7,395","5,864",368,"1,162",1,,,,,
13098  Viso del Marqués,"1,889","1,167",438,283,1,,,,,
"14074  Viso, El","1,944","1,112",371,460,1,,,,,
37376  Vitigudino,"1,691","1,061",406,222,2,,,,,
01059  Vitoria-Gasteiz,"111,325","102,830","2,768","5,649",78,,,,,
27066  Viveiro,"10,954","6,288","2,073","2,588",5,,,,,
39102  Voto,"2,363","1,145",482,736,0,,,,,
03081  Xaló,"1,940","1,268",424,248,0,,,,,
46145  Xàtiva,"14,434","11,093",627,"2,710",4,,,,,
46143  Xeraco,"6,198","2,267","3,750",180,1,,,,,
46146  Xeresa,"1,163",881,131,151,0,,,,,
27021  Xermade,"1,500",871,350,279,0,,,,,
32032  Xinzo de Limia,"7,591","3,874","1,533","2,182",2,,,,,
46110  Xirivella,"14,295","11,836",594,"1,864",1,,,,,
27025  Xove,"1,479","1,270",47,161,1,,,,,
35034  Yaiza,"12,227","5,821","1,519","4,885",2,,,,,
46261  Yátova,"1,758",826,454,478,0,,,,,
"45200  Yébenes, Los","3,067","2,032",430,604,1,,,,,
19326  Yebes,"2,375",818,132,"1,424",1,,,,,
30043  Yecla,"15,519","12,224",329,"2,963",3,,,,,
45201  Yeles,"3,197","2,003",477,715,2,,,,,
45202  Yepes,"2,812","1,824",249,736,3,,,,,
02086  Yeste,"2,198","1,268",219,708,3,,,,,
45203  Yuncler,"2,095","1,322",232,541,0,,,,,
45205  Yuncos,"5,090","3,650",646,793,1,,,,,
29100  Yunquera,"2,139","1,140",616,383,0,,,,,
19331  Yunquera de Henares,"2,089","1,398",254,435,2,,,,,
18192  Zafarraya,"1,217",867,37,313,0,,,,,
06158  Zafra,"8,159","6,125",570,"1,460",4,,,,,
06159  Zahínos,"1,725","1,072",150,503,0,,,,,
06160  Zalamea de la Serena,"2,915","1,492",877,545,1,,,,,
21078  Zalamea la Real,"2,071","1,310",548,211,2,,,,,
48095  Zaldibar,"1,395","1,211",70,113,1,,,,,
48096  Zalla,"3,691","3,244",80,364,3,,,,,
49275  Zamora,"39,079","27,297","5,092","6,673",17,,,,,
48905  Zamudio,"1,442","1,236",37,169,0,,,,,
50297  Zaragoza,"327,112","277,588","14,208","35,136",180,,,,,
47231  Zaratán,"2,588","2,360",53,174,1,,,,,
20079  Zarautz,"11,483","8,457","2,452",571,3,,,,,
"06162  Zarza, La","1,983","1,317",343,322,1,,,,,
15093  Zas,"2,498","1,682",331,485,0,,,,,
20027  Zestoa,"1,578","1,353",60,163,2,,,,,
31907  Zizur Mayor/Zizur Nagusia,"5,283","4,977",131,173,2,,,,,
20028  Zizurkil,"1,246","1,038",59,146,3,,,,,
"18193  Zubia, La","8,857","6,585",261,"2,006",5,,,,,
50298  Zuera,"3,624","3,026",273,318,7,,,,,
01063  Zuia,"1,152",899,143,108,2,,,,,
18194  Zújar,"1,663","1,097",379,187,0,,,,,
20081  Zumaia,"4,449","3,550",466,430,2,,,,,
20080  Zumarraga,"4,570","4,295",36,234,6,,,,,
04103  Zurgena,"1,917","1,273",344,300,0,,,,,
,,,,,,,,,,
,,,,,,,,,,
Notas:,,,,,,,,,,
,,,,,,,,,,
Fuente: ,,,,,,,,,,
Instituto Nacional de Estadística,,,,,,,,,,
